time,JS_NH3,CS_NH3,JS_TN,CS_TN,JS_LL,CS_LL,MCCS_NH4,MCCS_NO3,JS_COD,CS_COD,JS_SW,CS_SW,B_HYC_NH4,B_HYC_XD,B_HYC_MLSS,B_HYC_JS_DO,B_HYC_DO,B_CS_MQ_SSLL,B_QY_ORP,N_HYC_NH4,N_HYC_XD,N_HYC_MLSS,N_HYC_JS_DO,N_HYC_DO,N_CS_MQ_SSLL,N_QY_ORP
2022/7/18 4:56,14.8855,,30.4462,,1277.4617,1837.4291,0.145,10.2886,177.7,8.3,26.8056,31.2293,0.2038,8.3813,6070.0479,0.1106,1.0658,4392.1992,129.3403,1.7624,11.2688,6083.396,0.1507,0.5005,3014.7246,113.2089
2022/7/18 4:58,14.8855,,30.4462,,1263.9642,2166.7454,0.145,10.2626,177.7,8.3,26.7766,31.2315,0.2018,8.9937,5918.9038,0.115,1.1961,4392.1016,129.3403,1.7643,11.5769,6094.7808,0.1793,0.6147,3014.7246,113.2089
2022/7/18 5:00,14.8855,,30.4462,,1277.1052,2160.7373,0.145,10.2539,177.7,8.3,26.753,31.2337,0.2077,8.1438,5923.6143,0.0945,1.1812,4394.2607,129.3403,1.835,11.3002,6105.7729,0.1405,0.672,3012.0747,113.0642
2022/7/18 5:02,14.8855,,30.4462,,887.6447,1449.5343,0.145,10.293,177.7,8.3,26.7343,31.2368,0.2038,7.867,5937.355,0.1134,1.2707,4394.8496,129.3403,1.9587,9.0448,6122.6543,0.135,0.4695,3014.332,112.9196
2022/7/18 5:04,14.8855,1.4498,30.4462,,920.5464,1440.8977,0.145,10.3494,177.7,8.3,26.7135,31.2388,0.2156,8.0476,5984.4648,0.0804,1.0442,4395.0459,129.3403,2.2119,7.0544,6101.8472,0.1652,0.6603,3016.6877,112.8472
2022/7/18 5:06,14.8855,1.4498,30.4462,,940.7015,2019.5482,0.145,10.3809,177.7,8.3,26.7025,31.2394,0.2136,7.4313,5902.0229,0.1102,1.2774,4394.457,129.3403,2.1765,7.0563,6165.8384,0.1244,0.6065,3010.6025,113.0642
2022/7/18 5:08,14.8855,1.4498,30.4462,,937.4294,1284.3129,0.145,10.4243,177.7,8.3,26.7176,31.2404,0.2136,7.9082,6014.6938,0.1024,0.8679,4392.0029,129.3403,2.0568,7.4332,6090.855,0.1581,0.8047,3008.8359,112.9196
2022/7/18 5:10,14.8855,1.4498,30.4462,,928.3669,1445.7792,0.145,10.4286,177.7,8.3,26.7363,31.2399,0.2077,7.6354,6113.2324,0.1075,0.7663,4394.1621,129.3403,2.1942,6.5067,6059.4482,0.166,0.7835,3010.4062,112.8472
2022/7/18 5:12,14.8855,1.4498,30.4462,,928.3712,1519.7534,0.1424,10.3928,177.7,8.3,26.7514,31.2399,0.2117,7.975,6075.1514,0.1279,0.9708,4395.4385,129.1956,2.3002,6.0003,6114.4102,0.1931,0.8118,3010.897,112.7026
2022/7/18 5:14,14.8855,1.4498,30.4462,,934.2575,2134.0767,0.1424,10.4492,177.7,8.3,26.7613,31.2409,0.2097,7.9082,6090.4624,0.0981,1.0846,4391.6104,129.3403,2.1805,6.3006,6011.1606,0.1263,0.8401,3011.3877,112.7026
2022/7/18 5:16,14.8855,1.4498,30.4462,,939.1139,1434.1388,0.1424,10.5849,177.7,8.3,26.7598,31.2406,0.2018,7.6609,6076.7222,0.0883,1.021,4389.8438,129.3403,2.5043,5.4487,6072.0112,0.1562,1.0112,3015.019,112.5579
2022/7/18 5:18,14.8855,1.4498,30.4462,,936.6551,1411.6085,0.1424,10.6608,177.7,8.3,26.7587,31.241,0.2058,8.2459,6078.6851,0.1723,1.0536,4392.9844,129.1956,2.4003,5.6843,6118.7285,0.1291,1.0144,3013.7432,112.4855
2022/7/18 5:20,14.8855,1.4498,30.4462,,906.3711,1915.9092,0.1424,10.599,177.7,8.3,26.758,31.2414,0.2117,7.7375,6131.291,0.1075,1.0532,4390.7275,129.3403,2.1471,6.3752,6139.1426,0.1385,1.1785,3013.4487,112.3409
2022/7/18 5:22,14.8855,1.4498,30.4462,,913.8075,-1811.7107,0.1424,10.5273,177.7,8.3,26.757,31.2414,0.2038,7.5588,6135.2168,0.0961,1.1463,4392.4941,129.3403,2.0764,6.7815,6101.8472,0.1232,1.1439,3012.0747,112.3409
2022/7/18 5:24,14.8855,1.4498,30.4462,,926.5815,830.3297,0.1424,10.574,177.7,8.3,26.7563,31.2414,0.2077,7.8022,6084.9658,0.1299,1.0038,4390.9238,129.3403,1.9469,7.3645,6060.2329,0.168,1.4631,3012.3694,112.1962
2022/7/18 5:26,14.8855,1.4498,31.352,,935.9379,788.6488,0.1424,10.6608,177.7,8.3,26.7514,31.2416,0.2117,7.5687,6106.9512,0.113,1.0285,4392.2979,129.3403,1.8919,7.71,6084.9658,0.197,1.3119,3017.7671,111.9792
2022/7/18 5:28,14.8855,1.4498,32.2578,,907.1752,1290.3208,0.1424,10.6771,177.7,8.3,26.7426,31.2419,0.2156,8.185,6102.6323,0.1723,1.1714,4392.0029,129.1233,1.8271,8.0515,6039.8193,0.2041,1.3241,3018.2578,112.1238
2022/7/18 5:30,14.8855,1.4498,32.2578,,935.469,844.9742,0.1424,10.6576,177.7,8.3,26.7389,31.2422,0.2038,7.6648,6124.2246,0.0969,1.2181,4390.2363,129.1956,1.8291,8.1536,6092.4258,0.1393,1.1895,3014.7246,112.1962
2022/7/18 5:32,14.8855,1.4498,32.2578,,919.6675,804.7954,0.1417,10.6793,177.7,8.3,26.7331,31.2429,0.1999,8.24,6058.2705,0.1055,1.4203,4391.4141,129.1233,1.7663,8.3872,6097.9209,0.1381,1.3732,3016.3931,112.1962
2022/7/18 5:34,14.8855,1.4498,32.2578,,922.2466,1390.2047,0.1417,10.7172,177.7,8.3,26.7229,31.2436,0.2117,7.6354,6048.0635,0.1248,1.1812,4389.4512,129.1956,1.7349,8.5658,6051.5962,0.1452,1.1789,3014.0376,111.9792
2022/7/18 5:36,14.8855,1.4498,32.2578,,915.1253,1383.4458,0.1417,10.7151,177.7,8.3,26.712,31.2445,0.2058,7.6295,6115.1953,0.1472,1.3347,4391.1201,129.1956,1.833,8.2164,6105.7729,0.1609,1.0042,3012.271,112.4855
2022/7/18 5:38,14.8855,1.4498,32.2578,,917.3687,852.4844,0.1417,10.7834,177.7,8.3,26.7027,31.2448,0.2038,7.7669,6145.8164,0.1719,1.0886,4391.6104,129.1956,1.782,8.4971,6036.2861,0.1405,1.0568,3011.584,112.4855
2022/7/18 5:40,14.8855,1.4498,32.2578,,928.6058,1246.0115,0.1417,10.8344,177.7,8.3,26.6938,31.2454,0.2018,8.6522,6124.2246,0.1063,1.1553,4389.3535,129.1956,1.7584,8.4618,6088.1074,0.1511,0.6599,3012.1729,112.4855
2022/7/18 5:42,14.8855,1.4498,32.2578,,910.3495,1258.4032,0.1417,10.7997,177.7,8.3,26.682,31.2468,0.2077,7.975,6086.144,0.1193,1.3155,4392.0029,129.1956,1.7467,8.6012,6106.5576,0.1389,0.6155,3011.4858,112.7026
2022/7/18 5:44,14.8855,1.4498,32.2578,,919.8221,852.4844,0.1417,10.8214,177.7,8.3,26.6719,31.2477,0.1999,7.8317,6106.9512,0.1165,1.2193,4390.7275,129.1956,1.7094,8.77,6103.8101,0.1927,0.853,3011.3877,112.4855
2022/7/18 5:46,14.8855,1.4498,32.2578,,919.7596,807.0484,0.1417,10.8507,177.7,8.3,26.6667,31.2492,0.2018,7.9691,5956.5918,0.1173,1.246,4391.8066,129.1233,1.7192,9.0114,6041.3896,0.166,0.6493,3013.7432,112.4855
2022/7/18 5:48,14.8855,1.4498,32.2578,8.4099,918.2717,1362.4176,0.1417,10.8637,177.7,8.3,26.6642,31.2504,0.1999,8.0358,6121.8691,0.1044,1.1251,4390.6289,129.1956,1.6721,9.2155,6158.772,0.1821,0.4922,3010.3081,112.1962
2022/7/18 5:50,14.8855,1.4498,32.2578,8.4099,924.401,1434.1388,0.1417,10.9733,177.7,8.3,26.6594,31.2508,0.1999,8.2066,6083.0034,0.1197,1.3379,4393.377,129.1233,1.6289,9.3883,6098.314,0.1299,0.4667,3014.2339,112.3409
2022/7/18 5:52,14.8855,1.4498,32.2578,8.4099,908.8367,1407.8535,0.1411,11.0135,177.7,8.3,26.6481,31.2516,0.2038,8.1399,6116.7656,0.1091,0.9782,4391.1201,129.1233,1.6583,9.5571,6093.6025,0.157,0.4738,3014.5286,112.3409
2022/7/18 5:54,14.8855,1.4498,32.2578,8.4099,936.5198,1464.1788,0.1411,11.0243,177.7,8.3,26.6397,31.2522,0.1999,7.8631,6160.7349,0.1263,1.054,4389.0586,129.1233,1.6524,9.6278,6069.6553,0.1503,0.44,3017.7671,112.1962
